
name(Rebirth of the Phoenix)

snap(12,-36,-60)
sky(255,214,191)
fog(255,163,120)
clouds(255,255,255,5,-1406)
ground(186,191,153)
set(10,-96600,66775,0)p
set(10,-96600,61175,0)p
set(10,-96600,55575,0)
set(23,-96600,52775,0)
set(31,-96600,53295,180)pr
set(10,-96600,35958,180)
set(10,-96600,30358,180)p
set(10,-96600,24758,180)p
set(10,-96600,19158,180)
chk(40,-96600,17803,0)r
set(14,-96600,14608,180)pt
set(10,-101150,14608,-90)
set(10,-106750,14608,-90)
set(10,-112350,14608,-90)p
set(10,-117950,14608,-90)p
set(38,-115650,14608,-90)
set(10,-123550,14608,-90)
set(38,-121250,14608,-90)
chk(40,-123883,14608,90)r
set(14,-128100,14608,0)pt
set(14,-128100,11108,90)pt
set(10,-123550,11108,90)p
set(10,-117950,11108,90)
set(32,-120138,11458,-90)pr
set(38,-119250,14608,-90)
set(38,-117250,14608,-90)
set(10,-112350,11108,90)p
set(10,-106750,11108,90)
set(28,-105848,14608,90)pr
chk(40,-105827,11108,90)r
set(14,-102200,11108,-90)pt
set(14,-102200,7608,180)pt
set(10,-106750,7608,-90)p
set(10,-112350,7608,-90)p
set(10,-117950,7608,-90)
set(32,-117956,10758,-90)
chk(40,-119185,7608,90)r
set(14,-122500,7608,0)pt
set(10,-122500,3058,0)
set(10,-122500,-2542,0)
set(28,-122500,642,0)pr
set(20,-122500,-8142,0)p
set(15,-122500,-13742,0)p
set(15,-122500,-14240,0)
chk(42,-122500,-16124,0)r
set(17,-122500,-18790,90)pt
set(15,-117950,-18790,-90)
set(16,-112350,-18790,-90)
set(33,-115776,-18790,90)pr
set(15,-106750,-18790,-90)p
set(15,-101150,-18790,-90)p
set(16,-95550,-18790,-90)p
set(15,-89950,-18790,-90)
set(24,-87150,-18790,-90)
set(34,-88380,-18790,90)pr
set(24,-68620,-18790,90)p
set(16,-65820,-18790,-90)p
set(15,-60610,-18790,-90)
set(33,-61915,-18790,90)pr
set(15,-55010,-18790,-90)
set(33,-57270,-18790,90)pr
set(15,-49410,-18790,-90)
set(33,-52210,-18790,90)pr
set(20,-43810,-18790,-90)p
set(10,-38210,-18790,-90)p
set(10,-32610,-18790,-90)
set(10,-27010,-18790,-90)
set(13,-21380,-17270,-60)
set(30,-26970,-18790,-90)pl
set(10,-15750,-15750,-90)p
set(10,-10150,-15750,-90)p
set(10,-4550,-15750,-90)
chk(40,-4082,-15750,90)r
set(14,0,-15750,180)pt
set(10,0,-11200,0)p
set(10,0,-5600,0)p
set(23,-96600,38758,180)
set(31,-96600,38160,0)pr
set(23,-14700,16800,180)
set(26,-14700,17400,0)pr
set(23,-68950,16320,180)
set(23,-68950,16320,0)

set(23,-72450,31960,0)
set(23,-72450,31960,180)

set(23,-98460,9358,-90)
set(23,-98460,9358,90)

set(23,-131480,12858,90)
set(23,-131480,12858,-90)

set(23,0,30050,0)

maxl(22,-134608,-21577)
maxb(29,-23977,-132208)
maxr(22,4592,-21577)
maxt(29,81622,-132208)
